,index,rent_address,stop_name,min_distance,min_duration,postcode
197,831,4-mcpherson-street-brunswick-vic-3056-16068777,Melton Railway Station (Melton South),8743.01,927.6,3056
198,1009,4-102-moreland-road-brunswick-vic-3056-16087543,Melton Railway Station (Melton South),9184.09,948.15,3056
199,431,504-2-6-duckett-street-brunswick-vic-3056-16073933,Melton Railway Station (Melton South),7278.2,818.6,3056
200,491,404-466-lygon-street-brunswick-vic-3056-16072893,Melton Railway Station (Melton South),7936.85,814.25,3056
201,540,307-1c-michael-street-brunswick-vic-3056-16069494,Melton Railway Station (Melton South),6047.4,667.26,3056
202,653,52-54-tinning-street-brunswick-vic-3056-16061469,Melton Railway Station (Melton South),11004.38,895.6,3056
203,1142,304-2-6-duckett-street-brunswick-vic-3056-16089922,Melton Railway Station (Melton South),7278.2,818.6,3056
204,210,9-67-blyth-st-brunswick-vic-3056-16080531,Melton Railway Station (Melton South),7966.16,821.04,3056
205,981,34-97-brickworks-drive-brunswick-vic-3056-16062022,Melton Railway Station (Melton South),7685.45,707.78,3056
206,552,803-597-sydney-road-brunswick-vic-3056-16068732,Melton Railway Station (Melton South),7179.74,807.96,3056
207,366,7-213-219-brunswick-road-brunswick-vic-3056-16076842,Melton Railway Station (Melton South),5791.35,634.73,3056
208,1235,3-133-glenlyon-road-brunswick-vic-3056-16087910,Melton Railway Station (Melton South),7045.15,751.25,3056
209,1295,11-170-albion-street-brunswick-vic-3056-16051288,Melton Railway Station (Melton South),7679.68,850.95,3056
210,1025,35-108-124-union-street-brunswick-vic-3056-16087109,Melton Railway Station (Melton South),7335.21,680.86,3056
211,343,805-288-albert-street-brunswick-vic-3056-16077559,Melton Railway Station (Melton South),6608.28,737.86,3056
212,1186,408-5-union-street-brunswick-vic-3056-16088527,Melton Railway Station (Melton South),5979.74,658.57,3056
213,1171,52-sutherland-street-brunswick-vic-3056-16088853,Melton Railway Station (Melton South),8958.09,848.51,3056
214,804,198-barkly-st-brunswick-vic-3056-16072946,Melton Railway Station (Melton South),6390.41,685.69,3056
215,206,2-6-millward-street-brunswick-vic-3056-16080703,Melton Railway Station (Melton South),6969.32,648.58,3056
216,252,78-hope-street-brunswick-vic-3056-16078953,Melton Railway Station (Melton South),8846.68,836.86,3056
217,1174,17-677-park-street-brunswick-vic-3056-16088786,Melton Railway Station (Melton South),5987.26,638.02,3056
218,449,52-hope-street-brunswick-vic-3056-16048861,Melton Railway Station (Melton South),7391.29,824.46,3056
219,532,538-22-barkly-street-brunswick-east-vic-3057-16070143,Melton Railway Station (Melton South),6882.76,769.01,3057
220,1279,102-9-village-avenue-brunswick-east-vic-3057-15220991,Melton Railway Station (Melton South),7766.05,838.0,3057
221,882,316-330-lygon-street-brunswick-east-vic-3057-15187572,Melton Railway Station (Melton South),7360.37,772.75,3057
222,295,250a-stewart-street-brunswick-east-vic-3057-16053880,Melton Railway Station (Melton South),8617.03,898.6,3057
223,886,2-20-lyndhurst-crescent-brunswick-east-vic-3057-16065203,Melton Railway Station (Melton South),8649.01,914.47,3057
224,101,105-26-barkly-street-brunswick-east-vic-3057-16083390,Melton Railway Station (Melton South),6880.96,768.75,3057
225,860,3-57-59-brunswick-road-brunswick-east-vic-3057-16066832,Melton Railway Station (Melton South),6568.21,717.2,3057
226,713,119-8-lygon-street-brunswick-east-vic-3057-16066944,Melton Railway Station (Melton South),6222.84,679.07,3057
227,223,2005-178-edward-street-brunswick-east-vic-3057-16080082,Melton Railway Station (Melton South),6776.37,745.49,3057
228,1122,209-92-96-albert-street-brunswick-east-vic-3057-16090378,Melton Railway Station (Melton South),7358.87,784.02,3057
229,354,401-269-stewart-street-brunswick-east-vic-3057-16077186,Melton Railway Station (Melton South),8712.64,918.29,3057
230,830,111-8-lygon-street-brunswick-east-vic-3057-16068888,Melton Railway Station (Melton South),6222.84,679.07,3057
231,817,4-mary-moodie-way-brunswick-east-vic-3057-16070244,Melton Railway Station (Melton South),6944.9,791.24,3057
232,1130,8-mary-moodie-way-brunswick-east-vic-3057-16090196,Melton Railway Station (Melton South),6953.76,793.36,3057
233,1188,501-14-20-nicholson-street-coburg-vic-3058-16088479,Melton Railway Station (Melton South),8872.32,921.78,3058
234,702,177-urquhart-street-coburg-vic-3058-16040113,Melton Railway Station (Melton South),10704.99,1120.22,3058
