,rent_address,school_name,min_distance,min_duration,postcode,price
942,2c-21-the-esplanade-st-kilda-vic-3182-16078204,Warrandyte Primary School,1349.71,191.74,3182,395.0
943,10-86-park-street-st-kilda-west-vic-3182-16068440,Warrandyte Primary School,1122.74,160.5,3182,350.0
944,11-43-spenser-street-st-kilda-vic-3182-16067006,Eaglehawk Primary School,927.2,195.95,3182,250.0
945,12-7-raglan-street-st-kilda-east-vic-3183-15298094,Highton Primary School,503.67,42.42,3183,290.0
946,4-nightingale-street-balaclava-vic-3183-16078992,Allansford and District Primary School,801.38,89.56,3183,1050.0
947,9-65-westbury-street-st-kilda-east-vic-3183-16088571,Campbells Creek Primary School,450.49,39.09,3183,495.0
948,7-1a-hughenden-road-st-kilda-east-vic-3183-16084967,Huntly Primary School,690.47,77.17,3183,340.0
949,6-leslie-street-st-kilda-east-vic-3183-16079147,Sandringham Primary School,607.48,76.41,3183,850.0
950,3-16-malakoff-street-st-kilda-east-vic-3183-16090509,Sandringham Primary School,645.1,77.86,3183,330.0
951,7-13-hughenden-road-st-kilda-east-vic-3183-16055120,Bellbrae Primary School,512.78,55.98,3183,460.0
952,6-23-lansdowne-rd-st-kilda-east-vic-3183-16077748,Highton Primary School,988.74,98.87,3183,350.0
953,2-47-gourlay-street-st-kilda-east-vic-3183-15663952,Flemington Primary School,696.36,79.26,3183,345.0
954,207-171-173-inkerman-street-st-kilda-east-vic-3183-16090952,Hawthorn West Primary School,733.71,56.4,3183,350.0
955,4-360-carlisle-street-balaclava-vic-3183-16082332,Gisborne Primary School,448.9,63.67,3183,650.0
956,1-28-wilgah-street-st-kilda-east-vic-3183-16083469,Heidelberg Primary School,770.57,74.6,3183,495.0
957,52a-alexandra-street-st-kilda-east-vic-3183-16086233,Grovedale Primary School,663.07,59.31,3183,1150.0
958,3-206-alma-rd-st-kilda-east-vic-3183-16078582,Huntly Primary School,812.57,81.7,3183,250.0
959,31-55-hotham-street-st-kilda-east-vic-3183-16083388,Sandringham Primary School,408.65,54.54,3183,550.0
960,5-1a-lansdowne-road-st-kilda-east-vic-3183-16086953,Highton Primary School,899.16,106.26,3183,650.0
961,2-kurrajong-avenue-st-kilda-east-vic-3183-16084549,Hamilton (Gray Street) Primary School,839.21,86.64,3183,720.0
962,8-7-cardigan-street-st-kilda-east-vic-3183-16090197,Sandringham Primary School,409.17,62.72,3183,330.0
963,5-1a-lansdowne-street-st-kilda-east-vic-3183-16086953,Highton Primary School,899.16,106.26,3183,650.0
964,7-alexandra-street-st-kilda-east-vic-3183-16067396,Wandiligong Primary School,232.7,24.88,3183,850.0
965,26-55-alexandra-st-st-kilda-east-vic-3183-16067159,Grovedale Primary School,730.79,64.72,3183,330.0
966,4-25-cardigan-street-st-kilda-east-vic-3183-16064463,Wandiligong Primary School,571.3,74.85,3183,450.0
967,1-106-alexandra-street-st-st-kilda-east-vic-3183-16068309,Heathcote Primary School,1033.57,104.26,3183,335.0
968,3-45-westbury-st-st-kilda-east-vic-3183-16071948,Campbells Creek Primary School,240.79,21.67,3183,320.0
969,3-20-hughenden-road-st-kilda-east-vic-3183-16048551,Huntly Primary School,568.06,62.61,3183,600.0
970,g10-43-45-the-avenue-balaclava-vic-3183-16065263,Flemington Primary School,540.35,62.44,3183,570.0
971,3-2-celeste-ct-st-kilda-east-vic-3183-16071218,Huntly Primary School,740.18,86.31,3183,395.0
972,3-31-chapel-street-st-kilda-east-vic-3183-16087349,Hamilton (Gray Street) Primary School,77.25,7.62,3183,275.0
973,10-wenden-grove-st-kilda-east-vic-3183-16068114,Highton Primary School,1095.4,127.4,3183,900.0
974,201-356-carlisle-street-balaclava-vic-3183-16065312,Gisborne Primary School,459.69,65.61,3183,375.0
975,5-58-alexandra-st-st-kilda-east-vic-3183-16073874,Grovedale Primary School,703.08,62.51,3183,560.0
976,7-23-bendigo-avenue-elwood-vic-3184-16085426,Castlemaine Primary School,643.16,98.49,3184,240.0
977,9-106-addison-street-elwood-vic-3184-16063225,Castlemaine Primary School,394.73,56.46,3184,530.0
978,1-12-avoca-ave-elwood-vic-3184-16090201,Footscray Primary School,446.23,107.09,3184,430.0
979,3-5-greig-court-elwood-vic-3184-16065526,Ballarat Primary School (Dana Street),583.91,140.13,3184,410.0
980,7-10-austin-avenue-elwood-vic-3184-16088641,Bacchus Marsh Primary School,497.54,105.2,3184,480.0
981,6-30-docker-street-elwood-vic-3184-16080165,Castlemaine Primary School,1017.73,130.21,3184,470.0
982,5-141-glenhuntly-road-elwood-vic-3184-16090615,Berwick Primary School,536.44,43.21,3184,350.0
983,1-3-goldsmith-st-elwood-vic-3184-16072668,Flemington Primary School,593.9,142.53,3184,425.0
984,18-kingsley-st-elwood-vic-3184-16064797,Avoca Primary School,1130.34,171.33,3184,630.0
985,8-12-may-street-elwood-vic-3184-16064495,Wodonga Primary School,677.49,106.07,3184,320.0
986,3-2a-vautier-street-elwood-vic-3184-16079224,Campbells Creek Primary School,699.83,98.16,3184,1000.0
987,206-96-ormond-road-elwood-vic-3184-16061435,Campbells Creek Primary School,688.02,91.96,3184,425.0
988,6-20-pine-avenue-elwood-vic-3184-16090586,Castlemaine Primary School,978.24,134.38,3184,380.0
989,3-38-mitford-street-elwood-vic-3184-16053235,Flemington Primary School,297.36,71.36,3184,340.0
990,14-193-brighton-road-elwood-vic-3184-16088112,Wodonga Primary School,927.02,151.12,3184,350.0
991,4-111-ruskin-street-elwood-vic-3184-16052249,Castlemaine Primary School,401.89,81.65,3184,670.0
992,205-95-ormond-road-elwood-vic-3184-16085196,Campbells Creek Primary School,672.13,90.33,3184,410.0
993,27-16-20-milton-street-elwood-vic-3184-15503430,Footscray Primary School,826.47,198.35,3184,675.0
994,6-18-joyce-street-elwood-vic-3184-16075499,Avoca Primary School,930.97,147.52,3184,850.0
995,2-24-tennyson-street-elwood-vic-3184-16076374,Footscray Primary School,388.47,93.23,3184,420.0
996,3-97-spray-street-elwood-vic-3184-16075450,Wodonga Primary School,124.53,27.06,3184,450.0
997,4-5-southey-court-elwood-vic-3184-16083693,Footscray Primary School,708.79,170.1,3184,575.0
998,4-84-ormond-road-elwood-vic-3184-16070658,Campbells Creek Primary School,640.89,89.23,3184,565.0
999,3-27-ruskin-street-elwood-vic-3184-16084771,Hallam Primary School,438.3,105.18,3184,550.0
1000,4-2-selwyn-avenue-elwood-vic-3184-16063201,Castlemaine Primary School,518.42,67.91,3184,265.0
1001,2-117-tennyson-street-elwood-vic-3184-16083454,Ballarat Primary School (Dana Street),512.54,120.84,3184,560.0
1002,1-66-riddell-parade-elsternwick-vic-3185-16073001,Doncaster Primary School,1017.79,158.44,3185,575.0
1003,3-24-elster-avenue-elsternwick-vic-3185-16078453,Gisborne Primary School,568.96,101.69,3185,450.0
1004,7a-los-angeles-court-ripponlea-vic-3185-16079275,Wodonga Primary School,1332.45,206.64,3185,680.0
1005,613b-455-glen-huntly-road-elsternwick-vic-3185-16072040,Flemington Primary School,291.83,59.69,3185,470.0
1006,103-5-7-nepean-highway-elsternwick-vic-3185-16079664,Elphinstone Primary School,614.09,113.15,3185,500.0
1007,3-4-orrong-road-elsternwick-vic-3185-16063179,Eltham Primary School,1117.35,141.13,3185,410.0
1008,3-50-magnolia-road-gardenvale-vic-3185-16088805,Wandiligong Primary School,1024.32,134.86,3185,355.0
1009,806-18-mccombie-st-elsternwick-vic-3185-16073253,Elphinstone Primary School,547.93,94.2,3185,520.0
1010,16-1-3-carre-street-elsternwick-vic-3185-16087759,Hallam Primary School,573.27,67.33,3185,440.0
1011,5-39-nepean-highway-elsternwick-vic-3185-16076084,Hallam Primary School,809.47,148.31,3185,430.0
1012,304-17-gordon-street-elsternwick-vic-3185-16071640,Elphinstone Primary School,294.41,63.67,3185,400.0
1013,6-65-clarence-street-elsternwick-vic-3185-16039179,Grovedale Primary School,1139.63,122.86,3185,425.0
1014,2-48-magnolia-road-gardenvale-vic-3185-16051707,Wandiligong Primary School,1000.41,131.99,3185,320.0
1015,2-9-bertram-street-elsternwick-vic-3185-13756533,Gisborne Primary School,1200.37,175.65,3185,630.0
1016,6-89-seymour-road-elsternwick-vic-3185-16054067,Flemington Primary School,817.99,67.94,3185,425.0
1017,4-34-horne-street-elsternwick-vic-3185-16071700,Elphinstone Primary School,631.74,105.65,3185,395.0
1018,53-elster-avenue-gardenvale-vic-3185-16078745,Hallam Primary School,386.62,64.72,3185,950.0
1019,222-138-glen-eira-road-elsternwick-vic-3185-16077536,Colac Primary School,576.31,45.52,3185,550.0
1020,1-453-kooyong-rd-elsternwick-vic-3185-16063736,Hawthorn West Primary School,1194.74,120.06,3185,550.0
1021,153-south-road-brighton-vic-3186-16066514,Newport Lakes Primary School,1133.93,122.47,3186,850.0
1022,303-79-81-asling-street-brighton-vic-3186-16089433,Cavendish Primary School,533.48,87.63,3186,400.0
1023,3-22b-south-road-brighton-vic-3186-16065921,Avoca Primary School,969.7,123.55,3186,975.0
1024,210-79-81-asling-street-brighton-vic-3186-16060948,Cavendish Primary School,533.48,87.63,3186,525.0
1025,5-airlie-street-brighton-vic-3186-16066747,Avoca Primary School,833.45,159.06,3186,1200.0
