,rent_address,mall,min_distance,min_duration,postcode,price
185,97-collier-crescent-brunswick-west-vic-3055-16087893,206 Bourke Street,1940.08,212.51,3055,1100.0
186,10-5-allard-street-brunswick-west-vic-3055-16084995,Acland Court Shopping Centre,1995.62,217.32,3055,370.0
187,3-564c-moreland-road-brunswick-west-vic-3055-16074162,Altona Gate Shopping Centre,2659.75,278.71,3055,550.0
188,3-9-moule-street-brunswick-west-vic-3055-16042300,Acland Court Shopping Centre,2089.03,233.96,3055,360.0
189,8-39-heller-street-brunswick-west-vic-3055-16088313,206 Bourke Street,1429.97,141.32,3055,330.0
190,504-1-olive-york-way-brunswick-west-vic-3055-15727179,Acland Court Shopping Centre,2412.23,268.35,3055,450.0
191,107-358-moreland-road-brunswick-west-vic-3055-16062260,Acland Court Shopping Centre,3853.88,362.33,3055,430.0
192,35-108-124-union-street-brunswick-vic-3056-16087109,206 Bourke Street,951.51,90.87,3056,370.0
193,9-67-blyth-st-brunswick-vic-3056-16080531,206 Bourke Street,1823.06,210.02,3056,490.0
194,307-1c-michael-street-brunswick-vic-3056-16069494,206 Bourke Street,467.2,55.41,3056,400.0
195,304-2-6-duckett-street-brunswick-vic-3056-16089922,206 Bourke Street,1698.0,206.76,3056,490.0
196,4-102-moreland-road-brunswick-vic-3056-16087543,206 Bourke Street,3003.17,355.14,3056,300.0
197,6-14-pitt-street-brunswick-vic-3056-16074091,206 Bourke Street,1804.1,183.15,3056,540.0
198,504-2-6-duckett-street-brunswick-vic-3056-16073933,206 Bourke Street,1698.0,206.76,3056,480.0
199,11-170-albion-street-brunswick-vic-3056-16051288,206 Bourke Street,2099.48,239.11,3056,510.0
200,7-213-219-brunswick-road-brunswick-vic-3056-16076842,206 Bourke Street,433.71,63.28,3056,625.0
201,17-677-park-street-brunswick-vic-3056-16088786,206 Bourke Street,936.32,109.41,3056,225.0
202,3-133-glenlyon-road-brunswick-vic-3056-16087910,206 Bourke Street,1376.33,141.31,3056,485.0
203,52-hope-street-brunswick-vic-3056-16048861,206 Bourke Street,1811.09,212.62,3056,850.0
204,805-288-albert-street-brunswick-vic-3056-16077559,206 Bourke Street,1028.08,126.02,3056,450.0
205,78-hope-street-brunswick-vic-3056-16078953,206 Bourke Street,1977.37,230.75,3056,620.0
206,803-597-sydney-road-brunswick-vic-3056-16068732,206 Bourke Street,1599.54,196.12,3056,350.0
207,208-5-union-street-brunswick-vic-3056-16077779,206 Bourke Street,403.19,47.01,3056,550.0
208,52-54-tinning-street-brunswick-vic-3056-16061469,206 Bourke Street,2340.26,292.48,3056,1400.0
209,15-10-davies-street-brunswick-vic-3056-16082384,206 Bourke Street,2436.35,290.01,3056,620.0
210,198-barkly-st-brunswick-vic-3056-16072946,206 Bourke Street,340.26,49.0,3056,950.0
211,4-mcpherson-street-brunswick-vic-3056-16068777,206 Bourke Street,3372.5,341.52,3056,750.0
212,2-6-millward-street-brunswick-vic-3056-16080703,206 Bourke Street,1379.54,150.38,3056,390.0
213,34-97-brickworks-drive-brunswick-vic-3056-16062022,206 Bourke Street,1621.42,182.76,3056,450.0
214,208-34-union-street-brunswick-vic-3056-16082673,206 Bourke Street,574.0,68.7,3056,490.0
215,92-brunswick-road-brunswick-vic-3056-16083215,206 Bourke Street,625.38,85.65,3056,660.0
216,52-sutherland-street-brunswick-vic-3056-16088853,206 Bourke Street,2476.14,286.61,3056,750.0
217,408-5-union-street-brunswick-vic-3056-16088527,206 Bourke Street,399.54,46.72,3056,680.0
218,404-466-lygon-street-brunswick-vic-3056-16072893,206 Bourke Street,2566.34,228.17,3056,380.0
219,8-mary-moodie-way-brunswick-east-vic-3057-16090196,206 Bourke Street,1373.88,213.98,3057,760.0
220,3-57-59-brunswick-road-brunswick-east-vic-3057-16066832,206 Bourke Street,1224.53,154.79,3057,760.0
221,209-92-96-albert-street-brunswick-east-vic-3057-16090378,206 Bourke Street,1988.36,197.94,3057,400.0
222,316-330-lygon-street-brunswick-east-vic-3057-15187572,206 Bourke Street,1989.86,186.67,3057,475.0
223,119-8-lygon-street-brunswick-east-vic-3057-16066944,206 Bourke Street,1103.53,139.92,3057,400.0
224,105-26-barkly-street-brunswick-east-vic-3057-16083390,206 Bourke Street,1290.44,201.28,3057,400.0
225,2-20-lyndhurst-crescent-brunswick-east-vic-3057-16065203,Acland Court Shopping Centre,2807.74,363.89,3057,445.0
226,4-mary-moodie-way-brunswick-east-vic-3057-16070244,206 Bourke Street,1365.02,211.85,3057,580.0
227,538-22-barkly-street-brunswick-east-vic-3057-16070143,206 Bourke Street,1292.23,201.54,3057,600.0
228,401-269-stewart-street-brunswick-east-vic-3057-16077186,Acland Court Shopping Centre,2099.2,274.37,3057,650.0
229,2005-178-edward-street-brunswick-east-vic-3057-16080082,206 Bourke Street,1196.5,166.1,3057,550.0
230,111-8-lygon-street-brunswick-east-vic-3057-16068888,206 Bourke Street,1103.53,139.92,3057,510.0
231,250a-stewart-street-brunswick-east-vic-3057-16053880,Acland Court Shopping Centre,2093.81,267.67,3057,750.0
232,102-9-village-avenue-brunswick-east-vic-3057-15220991,206 Bourke Street,2395.54,251.92,3057,550.0
233,417-11-urquhart-street-coburg-vic-3058-16061379,206 Bourke Street,3000.0,324.19,3058,365.0
234,8-grey-street-coburg-vic-3058-16076345,206 Bourke Street,1139.73,122.36,3058,630.0
235,818-sydney-rd-coburg-north-vic-3058-16088235,206 Bourke Street,3056.69,311.93,3058,450.0
236,100-clarendon-street-coburg-vic-3058-16073408,206 Bourke Street,4217.9,436.93,3058,720.0
237,8-46-the-grove-coburg-vic-3058-16067821,Acland Court Shopping Centre,3434.38,354.92,3058,340.0
238,1-29-arthur-street-coburg-north-vic-3058-16082466,206 Bourke Street,977.45,153.8,3058,460.0
