,rent_address,school_name,min_distance,min_duration,postcode,price
742,617-highbury-road-burwood-east-vic-3151-15118457,Alberton Primary School,753.81,56.89,3151,700.0
745,2-62-scoresby-road-bayswater-vic-3153-16075654,Cavendish Primary School,657.95,92.4,3153,520.0
746,48-thompson-road-upwey-vic-3158-16069181,Belmont Primary School,1128.43,194.06,3158,660.0
748,64-ferguson-street-upwey-vic-3158-16082642,Warrandyte Primary School,1072.32,120.55,3158,650.0
749,2-372-orrong-road-caulfield-north-vic-3161-16064315,Huntly Primary School,511.94,58.6,3161,550.0
750,24-orrong-crescent-caulfield-north-vic-3161-16063914,Wodonga Primary School,1051.11,131.65,3161,950.0
751,4-129-131-kambrook-road-caulfield-north-vic-3161-16064416,Colac Primary School,647.28,71.4,3161,425.0
752,18-41-northcote-ave-caulfield-north-vic-3161-16089431,Cavendish Primary School,989.03,104.64,3161,300.0
753,724-inkerman-road-caulfield-north-vic-3161-16088678,Bacchus Marsh Primary School,905.08,65.05,3161,630.0
754,2-74-hawthorn-rd-caulfield-north-vic-3161-16062077,Wodonga Primary School,497.12,32.54,3161,560.0
755,6-359-balaclava-road-caulfield-north-vic-3161-16073003,Newport Lakes Primary School,309.66,22.58,3161,310.0
756,5-20-kooyong-rd-caulfield-north-vic-3161-16065046,Hamilton (Gray Street) Primary School,1230.03,108.21,3161,570.0
757,3-20-malvern-grove-caulfield-north-vic-3161-16072766,Bacchus Marsh Primary School,1142.33,85.79,3161,470.0
758,38-park-crescent-caulfield-north-vic-3161-16084584,Cudgee Primary School,345.77,52.17,3161,920.0
759,5-12-wyuna-rd-caulfield-north-vic-3161-16060765,Newport Lakes Primary School,497.2,52.35,3161,440.0
760,105-337-balaclava-road-caulfield-north-vic-3161-16053704,Cudgee Primary School,136.02,8.9,3161,600.0
761,5-556-dandenong-rd-caulfield-north-vic-3161-16072372,Dromana Primary School,1369.17,254.13,3161,460.0
762,3-40-northcote-avenue-caulfield-north-vic-3161-15503694,Newport Lakes Primary School,1048.58,118.94,3161,520.0
763,1-17-sebastopol-street-caulfield-north-vic-3161-16076196,Ballarat Primary School (Dana Street),340.66,62.49,3161,650.0
764,8-62-hawthorn-road-caulfield-north-vic-3161-16081715,Wodonga Primary School,655.69,43.11,3161,600.0
765,4-273-balaclava-rd-caulfield-north-vic-3161-16013121,Cudgee Primary School,317.32,20.77,3161,649.0
766,2-46-orrong-cres-caulfield-north-vic-3161-16085943,Heathcote Primary School,1306.14,126.43,3161,500.0
767,9-20-kooyong-road-caulfield-north-vic-3161-16071029,Hamilton (Gray Street) Primary School,1227.89,107.7,3161,550.0
768,4-14-narong-road-caulfield-north-vic-3161-16075742,Ballarat Primary School (Dana Street),1015.61,88.88,3161,570.0
769,7-237-balaclava-road-caulfield-north-vic-3161-16078540,Ballarat Primary School (Dana Street),451.89,29.58,3161,710.0
770,7-56-kooyong-road-caulfield-north-vic-3161-16054643,Wodonga Primary School,873.54,103.13,3161,500.0
771,3-24-park-crescent-caulfield-north-vic-3161-16035184,Newport Lakes Primary School,179.38,36.45,3161,275.0
772,10-633-inkerman-road-caulfield-north-vic-3161-16085522,Ballarat Primary School (Dana Street),1174.1,80.43,3161,525.0
773,3-53-wanda-rd-caulfield-north-vic-3161-16087035,Ballarat Primary School (Dana Street),959.67,118.64,3161,480.0
774,4-60-eskdale-road-caulfield-north-vic-3161-16075441,Cudgee Primary School,587.7,50.31,3161,575.0
775,2a-stephens-street-caulfield-vic-3162-16083642,Colac Primary School,763.7,77.07,3162,670.0
776,68-dover-street-caulfield-south-vic-3162-16074034,Beaufort Primary School,454.72,47.26,3162,1400.0
777,2-193-bambra-road-caulfield-south-vic-3162-16083583,Wandiligong Primary School,483.46,40.87,3162,590.0
778,46-alder-st-caulfield-south-vic-3162-16073205,Cudgee Primary School,371.33,89.12,3162,790.0
