,rent_address,stop_name,min_distance,min_duration,postcode,price
180,4-31-33-o-connor-street-brunswick-east-vic-3057-16109419,Carlton Court House Historic Reserve,3211.28,329.13,3057,650.0
181,5-31-33-o-connor-street-brunswick-east-vic-3057-16109350,Carlton Court House Historic Reserve,3211.28,329.13,3057,900.0
182,45-victoria-street-brunswick-east-vic-3057-16105604,Carlton Court House Historic Reserve,4043.16,448.63,3057,550.0
183,101-392-lygon-street-brunswick-east-vic-3057-16095591,Carlton Court House Historic Reserve,3745.0,363.36,3057,400.0
184,313-1-brunswick-road-brunswick-east-vic-3057-16099118,Carlton Court House Historic Reserve,2824.7,307.27,3057,380.0
185,204-294-lygon-street-brunswick-east-vic-3057-15429522,Carlton Court House Historic Reserve,3377.83,335.04,3057,575.0
186,46-nicholson-street-brunswick-east-vic-3057-16112281,Carlton Court House Historic Reserve,3449.83,374.98,3057,780.0
187,106-273-lygon-street-brunswick-east-vic-3057-16095784,Carlton Court House Historic Reserve,3247.44,319.96,3057,575.0
188,714-11-urquhart-street-coburg-vic-3058-16097143,Yarra Bend Park,9560.73,859.99,3058,450.0
189,177-urquhart-street-coburg-vic-3058-16099429,Yarra Bend Park,8710.37,768.75,3058,600.0
190,1-flinders-street-coburg-vic-3058-15138487,Merri Creek Land (368 Mahoneys Rd),7368.87,614.2,3058,430.0
191,4-18-loch-street-coburg-vic-3058-16092618,Yarra Bend Park,8987.26,792.77,3058,540.0
192,413-11-urquhart-street-coburg-vic-3058-15467995,Yarra Bend Park,9560.73,859.99,3058,450.0
193,46-mutton-road-fawkner-vic-3060-15915330,Merri Creek Land (368 Mahoneys Rd),4192.41,321.75,3060,450.0
194,27-rocco-avenue-donnybrook-vic-3064-16098102,,,,3064,440.0
195,g05-237-napier-street-fitzroy-vic-3065-16099451,Carlton Court House Historic Reserve,1361.83,232.69,3065,595.0
196,14-65-george-street-fitzroy-vic-3065-16109661,Lower Yarra River land,1902.76,224.93,3065,330.0
197,33-bell-street-fitzroy-vic-3065-16110446,Carlton Court House Historic Reserve,1014.1,184.32,3065,1350.0
198,3-15-17-bendigo-street-collingwood-vic-3066-16108579,Lower Yarra River land,2375.83,329.32,3066,350.0
199,207-6-mater-street-collingwood-vic-3066-16091253,Lower Yarra River land,2187.48,328.36,3066,550.0
200,106-35-victoria-parade-collingwood-vic-3066-16093671,Lower Yarra River land,1802.37,207.04,3066,500.0
201,706-75-wellington-street-collingwood-vic-3066-15210408,Lower Yarra River land,1380.03,163.87,3066,600.0
202,11g-21-northumberland-street-collingwood-vic-3066-16110786,Lower Yarra River land,1510.7,187.46,3066,550.0
203,207g-31-napoleon-street-collingwood-vic-3066-16108865,Lower Yarra River land,1728.68,235.69,3066,410.0
204,1008-68-cambridge-street-collingwood-vic-3066-16096565,Lower Yarra River land,1461.97,178.62,3066,500.0
